date,ASACX10
1959-06-30,NaN
1959-09-30,NaN
1959-12-31,NaN
1960-03-31,NaN
1960-06-30,NaN
1960-09-30,NaN
1960-12-31,NaN
1961-03-31,NaN
1961-06-30,NaN
1961-09-30,NaN
1961-12-31,NaN
1962-03-31,NaN
1962-06-30,NaN
1962-09-30,NaN
1962-12-31,NaN
1963-03-31,NaN
1963-06-30,NaN
1963-09-30,NaN
1963-12-31,NaN
1964-03-31,NaN
1964-06-30,NaN
1964-09-30,NaN
1964-12-31,NaN
1965-03-31,NaN
1965-06-30,NaN
1965-09-30,NaN
1965-12-31,NaN
1966-03-31,NaN
1966-06-30,NaN
1966-09-30,NaN
1966-12-31,NaN
1967-03-31,NaN
1967-06-30,NaN
1967-09-30,NaN
1967-12-31,NaN
1968-03-31,NaN
1968-06-30,NaN
1968-09-30,NaN
1968-12-31,NaN
1969-03-31,NaN
1969-06-30,NaN
1969-09-30,NaN
1969-12-31,NaN
1970-03-31,NaN
1970-06-30,NaN
1970-09-30,NaN
1970-12-31,NaN
1971-03-31,NaN
1971-06-30,NaN
1971-09-30,NaN
1971-12-31,NaN
1972-03-31,NaN
1972-06-30,NaN
1972-09-30,NaN
1972-12-31,NaN
1973-03-31,NaN
1973-06-30,NaN
1973-09-30,NaN
1973-12-31,NaN
1974-03-31,NaN
1974-06-30,NaN
1974-09-30,NaN
1974-12-31,NaN
1975-03-31,NaN
1975-06-30,NaN
1975-09-30,NaN
1975-12-31,NaN
1976-03-31,NaN
1976-06-30,NaN
1976-09-30,NaN
1976-12-31,NaN
1977-03-31,NaN
1977-06-30,NaN
1977-09-30,NaN
1977-12-31,NaN
1978-03-31,NaN
1978-06-30,NaN
1978-09-30,NaN
1978-12-31,NaN
1979-03-31,NaN
1979-06-30,NaN
1979-09-30,NaN
1979-12-31,6.90
1980-03-31,NaN
1980-06-30,7.85
1980-09-30,NaN
1980-12-31,8.25
1981-03-31,NaN
1981-06-30,7.80
1981-09-30,NaN
1981-12-31,7.05
1982-03-31,NaN
1982-06-30,5.70
1982-09-30,NaN
1982-12-31,5.65
1983-03-31,5.30
1983-06-30,NaN
1983-09-30,NaN
1983-12-31,5.20
1984-03-31,5.60
1984-06-30,NaN
1984-09-30,NaN
1984-12-31,5.20
1985-03-31,4.35
1985-06-30,NaN
1985-09-30,NaN
1985-12-31,4.55
1986-03-31,4.00
1986-06-30,NaN
1986-09-30,NaN
1986-12-31,4.00
1987-03-31,4.20
1987-06-30,NaN
1987-09-30,NaN
1987-12-31,4.50
1988-03-31,4.30
1988-06-30,NaN
1988-09-30,NaN
1988-12-31,4.35
1989-03-31,4.25
1989-06-30,NaN
1989-09-30,NaN
1989-12-31,4.20
1990-03-31,3.95
1990-06-30,NaN
1990-09-30,NaN
1990-12-31,4.15
1991-03-31,4.05
1991-06-30,NaN
1991-09-30,NaN
1991-12-31,4.00
1992-03-31,3.70
1992-06-30,3.90
1992-09-30,3.75
1992-12-31,3.60
1993-03-31,3.50
1993-06-30,3.70
1993-09-30,3.45
1993-12-31,3.45
1994-03-31,3.45
1994-06-30,3.50
1994-09-30,3.50
1994-12-31,3.50
1995-03-31,3.30
1995-06-30,3.35
1995-09-30,3.20
1995-12-31,3.00
1996-03-31,3.00
1996-06-30,3.00
1996-09-30,3.00
1996-12-31,3.00
1997-03-31,3.00
1997-06-30,2.85
1997-09-30,3.00
1997-12-31,2.65
1998-03-31,2.60
1998-06-30,2.50
1998-09-30,2.50
1998-12-31,2.50
1999-03-31,2.30
1999-06-30,2.50
1999-09-30,2.50
1999-12-31,2.50
2000-03-31,2.50
2000-06-30,2.50
2000-09-30,2.50
2000-12-31,2.50
2001-03-31,2.50
2001-06-30,2.50
2001-09-30,2.50
2001-12-31,2.55
2002-03-31,2.50
2002-06-30,2.50
2002-09-30,2.50
2002-12-31,2.45
2003-03-31,2.50
2003-06-30,2.50
2003-09-30,2.50
2003-12-31,2.50
2004-03-31,2.50
2004-06-30,2.50
2004-09-30,2.50
2004-12-31,2.50
2005-03-31,2.45
2005-06-30,2.50
2005-09-30,2.50
2005-12-31,2.50
2006-03-31,2.50
2006-06-30,2.50
2006-09-30,2.50
2006-12-31,2.50
2007-03-31,2.35
2007-06-30,2.40
2007-09-30,2.40
2007-12-31,2.40
2008-03-31,2.50
2008-06-30,2.50
2008-09-30,2.50
2008-12-31,2.50
2009-03-31,2.40
2009-06-30,2.50
2009-09-30,2.50
2009-12-31,2.26
2010-03-31,2.39
2010-06-30,2.40
2010-09-30,2.30
2010-12-31,2.20
2011-03-31,2.30
2011-06-30,2.40
2011-09-30,2.40
2011-12-31,2.50
2012-03-31,2.30
2012-06-30,2.48
2012-09-30,2.35
2012-12-31,2.30
2013-03-31,2.30
2013-06-30,2.30
2013-09-30,2.21
2013-12-31,2.30
2014-03-31,2.30
2014-06-30,2.25
2014-09-30,2.20
2014-12-31,2.20
2015-03-31,2.10
2015-06-30,2.14
2015-09-30,2.15
